service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
D_REG,0,0,0,0,0,0,1,20221231,20231231
S_REG,0,0,0,0,0,1,0,20221231,20231231
U_REG,1,1,1,1,1,0,0,20221231,20231231
U_OBRA_001,1,1,1,1,1,0,0,20220916,20231231
S_OBRA_001,0,0,0,0,0,1,0,20220916,20231231
D_OBRA_001,0,0,0,0,0,0,1,20220916,20231231
U_OBRA_002,1,1,1,1,1,0,0,20230101,20231231
S_OBRA_002,0,0,0,0,0,1,0,20230101,20231231
D_OBRA_002,0,0,0,0,0,0,1,20230101,20231231
S_OBRA_003,0,0,0,0,0,1,0,20230304,20230913
U_OBRA_003,1,1,1,1,1,0,0,20230304,20230913
D_OBRA_003,0,0,0,0,0,0,1,20230304,20230913
U_DESAT_OBRA_001,1,1,1,1,1,0,0,20220916,20231231
S_DESAT_OBRA_001,0,0,0,0,0,1,0,20220916,20231231
D_DESAT_OBRA_001,0,0,0,0,0,0,1,20220916,20231231
U_DESAT_OBRA_002,1,1,1,1,1,0,0,20230101,20231231
S_DESAT_OBRA_002,0,0,0,0,0,1,0,20230101,20231231
D_DESAT_OBRA_002,0,0,0,0,0,0,1,20230101,20231231
S_DESAT_OBRA_003,0,0,0,0,0,1,0,20230304,20230913
U_DESAT_OBRA_003,1,1,1,1,1,0,0,20230304,20230913
D_DESAT_OBRA_003,0,0,0,0,0,0,1,20230304,20230913
