trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
44518323-f894-45cf-bbf8-c1adb6c1a2da,O0368AAA0A,U_REG,Riocentro,368,1,4laz
dd28ef45-c0fc-4a7c-8e59-42f7b299a24b,O0415AAN0A,D_REG,Usina,SN415,1,3f1i
f343f631-7b20-4494-a3e5-be87540c0aaf,O0368AAA0A,U_REG,Riocentro,368,1,4laz
7ef0913c-ebad-43bf-9e6c-ee95b80c18da,O0368AAA0A,U_REG,Riocentro,368,1,4laz
e26009bc-e4e0-4c11-8fd9-df30d6f391c6,O0864AAA0A,U_REG,Campo Grande,864,0,O0864AAA0AIDU01
a0bb89a6-d7ba-42da-8630-861d8cd3e03d,O0629AAA0A,U_REG,Saens Peña,629,0,g38v
aa7c195c-838d-4336-9699-579af63d2e50,O0483AAN0A,D_DESAT_OBRA_001,General Osório,SN483,0,txxp
cb65dd5c-8ffe-4a26-ad78-bff24051f4dc,O0483AAN0A,S_DESAT_OBRA_001,General Osório,SN483,0,txxp
5972db1a-6b31-4895-a2a1-1527f6f5ad45,O0862AAA0A,D_REG,Barra da Tijuca,862,0,knpf
37d7f43b-6651-469a-b06b-c0335e67d56b,O0862AAA0A,D_REG,Rio das Pedras,862,1,yiwy
75582ab3-dc4b-479c-99fa-5db34a6a554a,O0483AAN0A,U_DESAT_OBRA_001,General Osório,SN483,0,txxp
46770929-8a4c-431a-9868-d8baabc50646,O0483AAN0A,U_OBRA_001,General Osório,SN483,0,dr6x
784041c4-83c7-45b6-98bb-5100d7598184,O0483AAN0A,S_OBRA_001,General Osório,SN483,0,dr6x
a25593dd-776c-421e-a7fe-83034549e052,O0426AAA0A,D_REG,Jardim de Alah,426,0,iy3o
e6d5bb46-2fe5-4ae4-bd04-ca68b8e6385e,O0766AAA0A,U_REG,Madureira,766,1,bc94
3e14e298-dd50-4412-a1e5-aa581d9713e2,O0426AAA0A,S_REG,Jardim de Alah,426,0,iy3o
3bddda30-4822-43dd-a282-829e2583ce55,O0390AAA0A,S_REG,Candelária,390,0,5au5
65d13cae-1a41-4ad7-b5ae-f29d5bbed764,O0415AAN0A,S_REG,Usina,SN415,1,3f1i
699b2882-bb78-4faf-a45a-fc11047f555b,O0390AAA0A,S_REG,Candelária,390,0,5au5
f8638dd1-2a8c-4d2a-98d9-7e1518c08abf,O0390AAA0A,S_REG,Candelária,390,0,5au5
c7781aef-f4c8-4392-a188-d84409d510d8,O0483AAN0A,D_OBRA_001,General Osório,SN483,0,dr6x
049b927c-f912-479a-9859-9f4d7c0e9701,O0483AAN0A,U_OBRA_001,Penha,SN483,1,i9c1
8c178518-37d0-4c38-b186-d2fc8939342f,O0665AAA0A,U_REG,Saens Peña,665,0,rdsw
7053c13a-fd41-4ce9-96e7-dfd01e35d333,O0685AAA0A,S_REG,Méier,685,0,u6d2
8ac4b709-5f1d-41f4-ae03-e862ecc2f364,O0685AAA0A,D_REG,Méier,685,0,u6d2
5b848aa2-6204-46c2-9474-8541a163ec94,O0390AAA0A,D_REG,Candelária,390,0,5au5
4dd0c0ca-2767-4ce1-8724-3a1891f3cc01,O0483AAN0A,S_OBRA_001,Penha,SN483,1,i9c1
b203b155-00ec-46f7-94ed-41e9bee73a1d,O0483AAN0A,D_OBRA_001,Penha,SN483,1,i9c1
f6daac3d-ff1c-4bae-b8da-b8e3cc7346cc,O0696AAA0A,S_DESAT_OBRA_003,Praia do Dendê,696,0,zbau
a84572e9-286b-47cc-a9e3-ad14162ba1d5,O0665AAA0A,D_REG,Pavuna,665,1,elhh
5eed6661-436e-4b81-8149-2f7fac7724a2,O0621AAA0A,U_REG,Saens Peña,621,0,or3g
66e1c41b-930b-40fd-a070-c7643c5bec23,O0390AAA0A,D_REG,Candelária,390,0,5au5
